--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Gemahlen_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
                            | Pm  | Ln    | 5363.0      | 0.021 
                            | Gd  | Ll    | 5362.0      | 0.03  
Bin 547 | 5460.0 - 5500.0   | ---------------------------------
                            | V   | Kb5   | 5463.0      | 0.001 
                            | Pr  | Lb4   | 5498.0      | 0.292 
                            | Pr  | Lb1   | 5491.7      | 0.846 
Bin 582 | 5810.0 - 5850.0   | ---------------------------------
                            | Ba  | Lg3   | 5810.4      | 0.119 
                            | Pr  | Lb2,15| 5848.9      | 0.154 
                            | Nd  | Lb3   | 5829.0      | 0.492 
                            | Eu  | Ln    | 5817.0      | 0.02  
                            | Eu  | La2   | 5818.4      | 0.081 
                            | Eu  | La1   | 5849.5      | 0.728 
Bin 591 | 5900.0 - 5940.0   | ---------------------------------
                            | Mn  | Ka1   | 5900.3      | 0.581 
Bin 611 | 6100.0 - 6140.0   | ---------------------------------
                            | Pm  | Lb6   | 6128.0      | 0.006 
Bin 653 | 6520.0 - 6560.0   | ---------------------------------
                            | Mn  | Kb5   | 6537.0      | 0.001 
                            | Dy  | Ln    | 6534.0      | 0.019 
                            | Yb  | Ll    | 6546.0      | 0.033 
Bin 687 | 6860.0 - 6900.0   | ---------------------------------
                            | Nd  | Lg2   | 6882.7      | 0.091 
                            | Pm  | Lg1   | 6893.0      | 0.136 
                            | Gd  | Lb6   | 6864.4      | 0.007 
Bin 711 | 7100.0 - 7140.0   | ---------------------------------
                            | Fe  | Kb5   | 7110.0      | 0.001 
                            | Gd  | Lb2,15| 7100.4      | 0.153 
                            | Tb  | Lb6   | 7118.0      | 0.007 
                            | Tm  | La2   | 7133.0      | 0.082 
Bin 716 | 7150.0 - 7190.0   | ---------------------------------
                            | Pm  | Lg2   | 7186.0      | 0.092 
                            | Pm  | Lg3   | 7186.0      | 0.126 
                            | Sm  | Lg1   | 7183.0      | 0.138 
                            | Tm  | La1   | 7180.0      | 0.733 
                            | Ta  | Ll    | 7173.0      | 0.034 
Bin 729 | 7280.0 - 7320.0   | ---------------------------------
                            | Tm  | Ln    | 7310.0      | 0.018 
Bin 761 | 7600.0 - 7640.0   | ---------------------------------
                            | Dy  | Lb2,15| 7636.4      | 0.15  
                            | Ho  | Lb6   | 7638.6      | 0.008 
                            | Lu  | La2   | 7605.0      | 0.081 
                            | Re  | Ll    | 7603.0      | 0.035 
Bin 769 | 7680.0 - 7720.0   | ---------------------------------
                            | Co  | Kb5   | 7706.0      | 0.001 
