--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Bohne.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
                            | Mo  | Lb6   | 2456.8      | 0.003 
                            | Pb  | Mb    | 2444.3      | 0.997 
                            | U   | Mz    | 2457.0      | 0.003 
Bin 250 | 2490.0 - 2530.0   | ---------------------------------
                            | Zr  | Lg2   | 2503.5      | 0.076 
                            | Zr  | Lg3   | 2504.9      | 0.093 
                            | Rh  | Ln    | 2517.9      | 0.035 
                            | Pd  | Ll    | 2501.4      | 0.033 
                            | Bi  | Mb    | 2525.7      | 0.997 
                            | Po  | Ma    | 2499.0      | 1.0   
                            | Np  | Mz    | 2521.0      | 0.003 
Bin 252 | 2510.0 - 2550.0   | ---------------------------------
                            | Tc  | Lb1   | 2535.4      | 0.96  
                            | Rh  | Ln    | 2517.9      | 0.035 
                            | Bi  | Mb    | 2525.7      | 0.997 
                            | Np  | Mz    | 2521.0      | 0.003 
Bin 257 | 2560.0 - 2600.0   | ---------------------------------
                            | Tc  | Lb4   | 2595.4      | 0.337 
                            | Tl  | Mg    | 2572.0      | 1.0   
                            | At  | Ma    | 2577.0      | 1.0   
                            | Pu  | Mz    | 2590.0      | 0.003 
Bin 262 | 2610.0 - 2650.0   | ---------------------------------
                            | Cl  | Ka2   | 2620.0      | 0.295 
                            | Cl  | Ka1   | 2622.0      | 0.589 
                            | Tc  | Lb3   | 2625.3      | 0.488 
                            | Ag  | Ll    | 2632.0      | 0.032 
                            | Po  | Mb    | 2614.0      | 0.997 
Bin 265 | 2640.0 - 2680.0   | ---------------------------------
                            | Nb  | Lg2   | 2665.4      | 0.077 
                            | Nb  | Lg3   | 2667.2      | 0.094 
                            | Pd  | Ln    | 2658.4      | 0.033 
                            | Pb  | Mg    | 2653.8      | 1.0   
                            | Rn  | Ma    | 2654.0      | 1.0   
                            | Am  | Mz    | 2658.0      | 0.003 
Bin 270 | 2690.0 - 2730.0   | ---------------------------------
                            | Rh  | La2   | 2692.1      | 0.088 
                            | Rh  | La1   | 2696.8      | 0.793 
                            | At  | Mb    | 2699.0      | 0.997 
                            | Cm  | Mz    | 2726.0      | 0.003 
Bin 273 | 2720.0 - 2760.0   | ---------------------------------
                            | Ru  | Lb4   | 2740.7      | 0.332 
                            | Bi  | Mg    | 2736.9      | 1.0   
                            | Fr  | Ma    | 2732.0      | 1.0   
                            | Cm  | Mz    | 2726.0      | 0.003 
Bin 275 | 2740.0 - 2780.0   | ---------------------------------
                            | Ru  | Lb4   | 2740.7      | 0.332 
                            | Ru  | Lb3   | 2762.5      | 0.49  
                            | Ru  | Lb6   | 2763.0      | 0.003 
                            | Cd  | Ll    | 2766.0      | 0.032 
Bin 281 | 2800.0 - 2840.0   | ---------------------------------
                            | Cl  | Kb3   | 2812.0      | 0.04  
                            | Cl  | Kb1   | 2812.0      | 0.076 
                            | Mo  | Lg2   | 2828.4      | 0.077 
                            | Mo  | Lg3   | 2830.5      | 0.095 
                            | Rh  | Lb1   | 2834.1      | 0.891 
                            | Pd  | La2   | 2832.5      | 0.087 
                            | Pd  | La1   | 2837.8      | 0.784 
                            | Ag  | Ln    | 2805.0      | 0.032 
                            | Po  | Mg    | 2829.0      | 1.0   
                            | Ra  | Ma    | 2806.0      | 1.0   
Bin 286 | 2850.0 - 2890.0   | ---------------------------------
                            | Ar  | Ka3   | 2879.6      | 0.0   
                            | Fr  | Mb    | 2868.0      | 0.997 
                            | Cf  | Mz    | 2864.0      | 0.003 
Bin 288 | 2870.0 - 2910.0   | ---------------------------------
                            | Ar  | Ka3   | 2879.6      | 0.0   
                            | Rh  | Lb4   | 2890.7      | 0.328 
                            | In  | Ll    | 2902.8      | 0.031 
                            | Ac  | Ma    | 2900.0      | 1.0   
Bin 291 | 2900.0 - 2940.0   | ---------------------------------
                            | Rh  | Lb3   | 2915.5      | 0.492 
                            | Rh  | Lb6   | 2922.6      | 0.003 
                            | In  | Ll    | 2902.8      | 0.031 
                            | At  | Mg    | 2919.0      | 1.0   
                            | Ac  | Ma    | 2900.0      | 1.0   
Bin 294 | 2930.0 - 2970.0   | ---------------------------------
                            | Ar  | Ka2   | 2955.3      | 0.295 
                            | Ar  | Ka1   | 2957.5      | 0.588 
                            | Cd  | Ln    | 2955.0      | 0.031 
                            | Ra  | Mb    | 2949.0      | 0.997 
Bin 302 | 3010.0 - 3050.0   | ---------------------------------
                            | Pd  | Lb4   | 3044.1      | 0.323 
                            | Sn  | Ll    | 3044.3      | 0.031 
Bin 307 | 3060.0 - 3100.0   | ---------------------------------
                            | Pd  | Lb3   | 3071.7      | 0.493 
                            | Pd  | Lb6   | 3085.9      | 0.003 
                            | Fr  | Mg    | 3086.0      | 1.0   
                            | Pa  | Ma    | 3071.0      | 1.0   
Bin 312 | 3110.0 - 3150.0   | ---------------------------------
                            | Rh  | Lg1   | 3144.0      | 0.074 
                            | Ag  | Lb1   | 3150.0      | 0.881 
                            | Cd  | La2   | 3126.1      | 0.085 
                            | Cd  | La1   | 3132.8      | 0.768 
                            | In  | Ln    | 3110.8      | 0.03  
                            | Th  | Mb    | 3148.6      | 0.997 
Bin 314 | 3130.0 - 3170.0   | ---------------------------------
                            | Rh  | Lg1   | 3144.0      | 0.074 
                            | Ag  | Lb1   | 3150.0      | 0.881 
                            | Cd  | La1   | 3132.8      | 0.768 
                            | Th  | Mb    | 3148.6      | 0.997 
                            | U   | Ma    | 3163.8      | 1.0   
Bin 317 | 3160.0 - 3200.0   | ---------------------------------
                            | Ar  | Kb3   | 3190.0      | 0.04  
                            | Ar  | Kb1   | 3190.2      | 0.077 
                            | Ru  | Lg2   | 3177.7      | 0.079 
                            | Ru  | Lg3   | 3180.8      | 0.099 
                            | Pd  | Lb2,15| 3171.0      | 0.093 
                            | Sb  | Ll    | 3192.0      | 0.03  
                            | Ra  | Mg    | 3189.0      | 1.0   
                            | U   | Ma    | 3163.8      | 1.0   
Bin 331 | 3300.0 - 3340.0   | ---------------------------------
                            | K   | Ka2   | 3311.1      | 0.295 
                            | K   | Ka1   | 3313.8      | 0.587 
                            | Pd  | Lg1   | 3328.0      | 0.081 
                            | Cd  | Lb1   | 3315.1      | 0.876 
                            | Te  | Ll    | 3335.0      | 0.03  
                            | U   | Mb    | 3339.8      | 0.997 
                            | Pu  | Ma    | 3339.0      | 1.0   
Bin 346 | 3450.0 - 3490.0   | ---------------------------------
                            | In  | Lb1   | 3486.6      | 0.872 
                            | I   | Ll    | 3485.0      | 0.03  
                            | Pa  | Mg    | 3466.0      | 1.0   
Bin 351 | 3500.0 - 3540.0   | ---------------------------------
                            | Ag  | Lg1   | 3520.0      | 0.087 
                            | Cd  | Lb2,15| 3526.3      | 0.111 
                            | In  | Lb4   | 3534.8      | 0.312 
                            | Pu  | Mb    | 3534.0      | 0.997 
                            | Cm  | Ma    | 3525.0      | 1.0   
Bin 355 | 3540.0 - 3580.0   | ---------------------------------
                            | Pd  | Lg2   | 3548.3      | 0.081 
                            | Pd  | Lg3   | 3553.1      | 0.102 
                            | In  | Lb3   | 3572.7      | 0.497 
                            | U   | Mg    | 3566.8      | 1.0   
Bin 358 | 3570.0 - 3610.0   | ---------------------------------
                            | K   | Kb3   | 3590.1      | 0.04  
                            | K   | Kb1   | 3590.1      | 0.078 
                            | Ca  | Ka3   | 3600.1      | 0.0   
                            | In  | Lb3   | 3572.7      | 0.497 
                            | In  | Lb6   | 3607.1      | 0.004 
                            | Sb  | La2   | 3594.5      | 0.084 
                            | Sb  | La1   | 3603.8      | 0.751 
                            | Te  | Ln    | 3606.0      | 0.027 
Bin 386 | 3850.0 - 3890.0   | ---------------------------------
                            | Sb  | Lb4   | 3885.3      | 0.306 
                            | Am  | Mg    | 3869.0      | 1.0   
Bin 388 | 3870.0 - 3910.0   | ---------------------------------
                            | Sn  | Lb2,15| 3904.1      | 0.125 
                            | Sb  | Lb4   | 3885.3      | 0.306 
Bin 397 | 3960.0 - 4000.0   | ---------------------------------
                            | Sc  | Ka3   | 3994.0      | 0.0   
                            | Sb  | Lb6   | 3978.8      | 0.004 
                            | Cm  | Mg    | 3976.0      | 1.0   
Bin 399 | 3980.0 - 4020.0   | ---------------------------------
                            | Ca  | Kb3   | 4013.1      | 0.041 
                            | Ca  | Kb1   | 4013.1      | 0.078 
                            | Sc  | Ka3   | 3994.0      | 0.0   
Bin 411 | 4100.0 - 4140.0   | ---------------------------------
                            | Sn  | Lg1   | 4131.1      | 0.103 
                            | Te  | Lb3   | 4118.2      | 0.498 
                            | Xe  | La1   | 4109.6      | 0.739 
                            | La  | Ll    | 4121.0      | 0.029 
Bin 418 | 4170.0 - 4210.0   | ---------------------------------
                            | Te  | Lb6   | 4171.6      | 0.005 
                            | Cf  | Mg    | 4186.0      | 1.0   
Bin 423 | 4220.0 - 4260.0   | ---------------------------------
                            | I   | Lb4   | 4257.0      | 0.301 
                            | I   | Lb1   | 4221.2      | 0.859 
Bin 431 | 4300.0 - 4340.0   | ---------------------------------
                            | I   | Lb3   | 4313.0      | 0.498 
                            | Ba  | Ln    | 4331.0      | 0.023 
Bin 434 | 4330.0 - 4370.0   | ---------------------------------
                            | Sb  | Lg1   | 4346.7      | 0.107 
                            | Ba  | Ln    | 4331.0      | 0.023 
Bin 439 | 4380.0 - 4420.0   | ---------------------------------
                            | Ti  | Ka3   | 4405.1      | 0.0   
                            | Sn  | Lg2   | 4381.4      | 0.085 
                            | Sn  | Lg3   | 4381.4      | 0.109 
                            | Xe  | Lb1   | 4418.0      | 0.857 
Bin 446 | 4450.0 - 4490.0   | ---------------------------------
                            | Sc  | Kb3   | 4463.7      | 0.041 
                            | Sc  | Kb1   | 4463.7      | 0.079 
                            | Xe  | Lb4   | 4450.9      | 0.299 
                            | Ba  | La2   | 4451.3      | 0.082 
                            | Ba  | La1   | 4466.5      | 0.734 
                            | Pr  | Ll    | 4453.0      | 0.029 
Bin 450 | 4490.0 - 4530.0   | ---------------------------------
                            | Ti  | Ka2   | 4505.8      | 0.294 
                            | Ti  | Ka1   | 4512.2      | 0.585 
                            | I   | Lb2,15| 4506.4      | 0.14  
                            | Xe  | Lb3   | 4512.4      | 0.498 
                            | La  | Ln    | 4529.0      | 0.023 
Bin 511 | 5100.0 - 5140.0   | ---------------------------------
                            | La  | Lb3   | 5138.0      | 0.496 
Bin 639 | 6380.0 - 6420.0   | ---------------------------------
                            | Fe  | Ka2   | 6392.1      | 0.294 
                            | Fe  | Ka1   | 6405.2      | 0.58  
Bin 747 | 7460.0 - 7500.0   | ---------------------------------
                            | Ni  | Ka2   | 7463.0      | 0.294 
                            | Ni  | Ka1   | 7480.3      | 0.578 
                            | Sm  | Lg2   | 7471.4      | 0.092 
                            | Sm  | Lg3   | 7489.6      | 0.128 
                            | Eu  | Lg1   | 7484.0      | 0.14  
                            | Ho  | Lb4   | 7471.0      | 0.297 
