QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 4,0006510459	 1,1183166504	 1,4452409744	
 4,0206543011	 1,1225473881	 1,4452385902	
 4,0406575563	 1,1196708679	 1,4452421665	
 4,0606608116	 1,1118876934	 1,4452528954	
 4,0806640668	 1,1120772362	 1,4452373981	
 4,1006673220	 1,1129415035	 1,4451122284	
 4,1206705773	 1,1388874054	 1,4449834824	
 4,1406738325	 1,2252068520	 1,4463722706	
 4,1606770877	 1,3753020763	 1,4498507977	
 4,1806803430	 1,5760350227	 1,4540207386	
 4,2006835982	 1,8198502064	 1,4580464363	
 4,2206868534	 2,0580935478	 1,4617359638	
 4,2406901086	 2,1444630623	 1,4652931690	
 4,2606933639	 2,0567607880	 1,4687407017	
 4,2806966191	 1,8525719643	 1,4722216129	
 4,3006998743	 1,5802752972	 1,4762783051	
 4,3207031296	 1,3544392586	 1,4800965786	
 4,3407063848	 1,1947250366	 1,4831781387	
 4,3607096400	 1,0652291775	 1,4862394333	
 4,3807128952	 0,9578728676	 1,4893269539	
 4,4007161505	 0,8660829067	 1,4924311638	
 4,4207194057	 0,7900691032	 1,4954125881	
 4,4407226609	 0,7238984108	 1,4991164207	
 4,4607259162	 0,6626653671	 1,5033829212	
 4,4807291714	 0,6062817574	 1,5059220791	
 4,5007324266	 0,5506670475	 1,5082144737	
 4,5207356819	 0,4980647564	 1,5111398697	
 4,5407389371	 0,4498314857	 1,5130805969	
 4,5607421923	 0,4023575783	 1,5153717995	
 4,5807454475	 0,3568422794	 1,5174698830	
 4,6007487028	 0,3155589104	 1,5193247795	
 4,6207519580	 0,2763593197	 1,5218806267	
 4,6407552132	 0,2403831482	 1,5243363380	
 4,6607584685	 0,2100598812	 1,5267920494	
 4,6807617237	 0,1829147339	 1,5292930603	
 4,7007649789	 0,1586747169	 1,5314495564	
 4,7207682341	 0,1395988464	 1,5333592892	
 4,7407714894	 0,1240718365	 1,5355193615	
 4,7607747446	 0,1097548008	 1,5377438068	
 4,7807779998	 0,0976848602	 1,5396618843	
 4,8007812551	 0,0882101059	 1,5415430069	
 4,8207845103	 0,0811707973	 1,5437233448	
 4,8407877655	 0,0756156445	 1,5458548069	
 4,8607910208	 0,0709795952	 1,5478789806	
 4,8807942760	 0,0678217411	 1,5500414371	
 4,9007975312	 0,0662195683	 1,5522146225	
 4,9208007864	 0,0656282902	 1,5542817116	
 4,9408040417	 0,0657701492	 1,5564823151	
 4,9608072969	 0,0677239895	 1,5586161613	
 4,9808105521	 0,0707614422	 1,5606784821	
 5,0008138074	 0,0737118721	 1,5629088879	
 5,0208170626	 0,0772440434	 1,5650641918	
 5,0408203178	 0,0814723969	 1,5669047832	
 5,0608235731	 0,0862157345	 1,5689027309	
 5,0808268283	 0,0922572613	 1,5711081028	
 5,1008300835	 0,0997662544	 1,5730905533	
 5,1208333387	 0,1089274883	 1,5749943256	
 5,1408365940	 0,1206946373	 1,5769970417	
 5,1608398492	 0,1358306408	 1,5790712833	
 5,1808431044	 0,1540815830	 1,5811586380	
 5,2008463597	 0,1761925220	 1,5833199024	
 5,2208496149	 0,2013587952	 1,5853178501	
 5,2408528701	 0,2299761772	 1,5873885155	
 5,2608561253	 0,2601861954	 1,5895473957	
 5,2808593806	 0,2896916866	 1,5914583206	
 5,3008626358	 0,3173840046	 1,5937042236	
 5,3208658910	 0,3417503834	 1,5959262848	
 5,3408691463	 0,3647756577	 1,5979528427	
 5,3608724015	 0,3909814358	 1,6000819206	
 5,3808756567	 0,4195559025	 1,6021335125	
 5,4008789120	 0,4424715042	 1,6041541100	
 5,4208821672	 0,4592502117	 1,6063082218	
 5,4408854224	 0,4714429379	 1,6084015369	
 5,4608886776	 0,4825806618	 1,6101813316	
 5,4808919329	 0,4908275604	 1,6121780872	
 5,5008951881	 0,5019509792	 1,6142332554	
 5,5208984433	 0,5213999748	 1,6161751747	
 5,5409016986	 0,5448639393	 1,6181480885	
 5,5609049538	 0,5680072308	 1,6203641891	
 5,5809082090	 0,5904245377	 1,6225087643	
 5,6009114642	 0,6169402599	 1,6243457794	
 5,6209147195	 0,6466579437	 1,6264903545	
 5,6409179747	 0,6720948219	 1,6287684441	
 5,6609212299	 0,7012593746	 1,6310203075	
 5,6809244852	 0,7360422611	 1,6330993176	
 5,7009277404	 0,7660853863	 1,6349971294	
 5,7209309956	 0,7994663715	 1,6369187832	
 5,7409342509	 0,8306980133	 1,6390168667	
 5,7609375061	 0,8612859249	 1,6411995888	
 5,7809407613	 0,9121477604	 1,6429698467	
 5,8009440165	 0,9625327587	 1,6447114944	
 5,8209472718	 0,9946501255	 1,6468024254	
 5,8409505270	 1,0329449177	 1,6489470005	
 5,8609537822	 1,0909414291	 1,6510891914	
 5,8809570375	 1,1717188358	 1,6529560089	
 5,9009602927	 1,2524819374	 1,6549158096	
 5,9209635479	 1,3400840759	 1,6571712494	
 5,9409668031	 1,4530932903	 1,6591680050	
 5,9609700584	 1,5693867207	 1,6610288620	
 5,9809733136	 1,6579389572	 1,6628682613	
 6,0009765688	 1,7143070698	 1,6648352146	
 6,0209798241	 1,7367303371	 1,6670179367	
 6,0409830793	 1,6990852356	 1,6693544388	
 6,0609863345	 1,6267573833	 1,6714191437	
 6,0809895898	 1,5565788746	 1,6731309891	
 6,1009928450	 1,4826428890	 1,6750729084	
 6,1209961002	 1,3823854923	 1,6772472858	
 6,1409993554	 1,2751901150	 1,6792404652	
